filename,age,gender,person_id,split
0013_1972_06_00000001_F_sam128.jpg,6,F,13,train
0013_1972_09_00000002_F_sam128.jpg,9,F,13,train
0013_1972_13_00000003_F_sam128.jpg,13,F,13,train
0013_1972_14_00000004_F_sam128.jpg,14,F,13,train
0013_1972_14_00000005_F_sam128.jpg,14,F,13,train
0013_1972_16_00000006_F_sam128.jpg,16,F,13,train
0013_1972_17_00000007_F_sam128.jpg,17,F,13,train
0013_1972_18_00000008_F_sam128.jpg,18,F,13,train
0013_1972_19_00000009_F_sam128.jpg,19,F,13,train
0013_1972_20_00000010_F_sam128.jpg,20,F,13,train
0013_1972_20_00000011_F_sam128.jpg,20,F,13,train
0013_1972_21_00000012_F_sam128.jpg,21,F,13,train
0013_1972_23_00000013_F_sam128.jpg,23,F,13,train
0013_1972_24_00000014_F_sam128.jpg,24,F,13,train
0013_1972_27_00000015_F_sam128.jpg,27,F,13,train
0013_1972_29_00000016_F_sam128.jpg,29,F,13,train
0013_1972_30_00000017_F_sam128.jpg,30,F,13,train
0013_1972_32_00000018_F_sam128.jpg,32,F,13,train
0013_1972_33_00000019_F_sam128.jpg,33,F,13,train
0013_1972_34_00000020_F_sam128.jpg,34,F,13,train
0013_1972_35_00000021_F_sam128.jpg,35,F,13,train
0013_1972_35_00000022_F_sam128.jpg,35,F,13,train
0013_1972_37_00000023_F_sam128.jpg,37,F,13,train
0013_1972_39_00000024_F_sam128.jpg,39,F,13,train
0013_1972_40_00000025_D_sam128.jpg,40,D,13,train
0013_1972_40_00000026_D_sam128.jpg,40,D,13,train
0013_1972_42_00000027_D_sam128.jpg,42,D,13,train
0013_1972_42_00000028_D_sam128.jpg,42,D,13,train
0013_1972_43_00000029_D_sam128.jpg,43,D,13,train
0013_1972_43_00000030_D_sam128.jpg,43,D,13,train
0013_1972_43_00000031_D_sam128.jpg,43,D,13,train
0013_1972_43_00000032_D_sam128.jpg,43,D,13,train
0013_1972_44_00000033_D_sam128.jpg,44,D,13,train
0013_1972_45_00000034_D_sam128.jpg,45,D,13,train
0013_1972_45_00000037_D_sam128.jpg,45,D,13,train
0013_1972_46_00000035_D_sam128.jpg,46,D,13,train
0013_1972_49_00000041_D_sam128.jpg,49,D,13,train
0013_1972_50_00000036_D_sam128.jpg,50,D,13,train
0013_1972_51_00000038_D_sam128.jpg,51,D,13,train
0013_1972_51_00000039_D_sam128.jpg,51,D,13,train
0013_1972_51_00000040_D_sam128.jpg,51,D,13,train
0013_1972_51_00000042_D_sam128.jpg,51,D,13,train
0013_1972_51_00000043_D_sam128.jpg,51,D,13,train
0013_1972_51_00000044_D_sam128.jpg,51,D,13,train
0013_1972_51_00000045_D_sam128.jpg,51,D,13,train
0013_1972_51_00000046_D_sam128.jpg,51,D,13,train
0013_1972_51_00000047_D_sam128.jpg,51,D,13,train
0013_1972_51_00000048_D_sam128.jpg,51,D,13,train
0013_1972_51_00000049_D_sam128.jpg,51,D,13,train
0013_1972_51_00000050_D_sam128.jpg,51,D,13,train
0014_1969_02_00000086_F_sam128.jpg,2,F,14,train
0014_1969_02_00000087_F_sam128.jpg,2,F,14,train
0014_1969_16_00000003_F_sam128.jpg,16,F,14,train
0014_1969_17_00000011_F_sam128.jpg,17,F,14,train
0014_1969_18_00000005_F_sam128.jpg,18,F,14,train
0014_1969_18_00000007_F_sam128.jpg,18,F,14,train
0014_1969_19_00000008_F_sam128.jpg,19,F,14,train
0014_1969_19_00000009_F_sam128.jpg,19,F,14,train
0014_1969_19_00000012_F_sam128.jpg,19,F,14,train
